
U.S. President, , ,3041 of 3041 Precincts Reported
Hillary Clinton,Democratic,"312,285",              49.614%
Henry Hewes,Democratic,650,               0.103%
"Roque ""Rocky"" De La Fuente",Democratic,345,               0.055%
Bernie Sanders,Democratic,"310,711",              49.364%
Keith Judd,Democratic,288,               0.046%
Willie L. Wilson,Democratic,307,               0.049%
Martin J. O'Malley,Democratic,442,               0.070%
John Wolfe,Democratic,247,               0.039%
Jon Adams,Democratic,433,               0.069%
Uncommitted,Democratic,"3,717",               0.591%
 ,Party Total:,"629,425", 
 , , , 
Chris Christie,Republican,"1,681",               0.179%
Jeb Bush,Republican,"3,361",               0.358%
Ben Carson,Republican,"8,233",               0.877%
Donald J. Trump,Republican,"383,631",              40.844%
Marco Rubio,Republican,"57,244",               6.095%
Ted Cruz,Republican,"381,666",              40.634%
Rick Santorum,Republican,732,               0.078%
Carly Fiorina,Republican,615,               0.065%
John R. Kasich,Republican,"94,857",              10.099%
Rand Paul,Republican,"1,777",               0.189%
Jim Lynch,Republican,100,               0.011%
Mike Huckabee,Republican,"2,148",               0.229%
Uncommitted,Republican,"3,225",               0.343%
 ,Party Total:,"939,270", 
 , , , 
Austin Petersen,Libertarian,854,              29.317%
Steven Elliott (Steve) Kerbel,Libertarian,401,              13.766%
Rhett Rosenquest Smith,Libertarian,99,               3.399%
Cecil Ince,Libertarian,134,               4.600%
Marc Allan Feldman,Libertarian,242,               8.308%
Uncommitted,Libertarian,"1,183",              40.611%
 ,Party Total:,"2,913", 
 , , , 
Uncommitted,Constitution,691,             100.000%
 ,Party Total:,691, 
 , , , 
 ,Total Votes:,"1,572,299", 
 , , , 
